"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 18 09:16:52 GMT 2025","Tue Feb 18 09:16:52 GMT 2025","1","","when instantiated with capacity 3","","com.example.catalog.LRUCacheTest$WhenInstantiated","isEmpty","cache is initially empty",""
"passed","Tue Feb 18 09:16:52 GMT 2025","Tue Feb 18 09:16:52 GMT 2025","40","","com.example.catalog.RateLimitITest","","com.example.catalog.RateLimitITest","testRateLimiterBypassesInternalEndpoint","testRateLimiterBypassesInternalEndpoint()",""
"passed","Tue Feb 18 09:16:53 GMT 2025","Tue Feb 18 09:16:53 GMT 2025","3","","com.example.catalog.SpotifyUtilsTest","","com.example.catalog.SpotifyUtilsTest","testValidURI","testValidURI()",""
"passed","Tue Feb 18 09:16:53 GMT 2025","Tue Feb 18 09:16:53 GMT 2025","1","","com.example.catalog.SpotifyUtilsTest","","com.example.catalog.SpotifyUtilsTest","testValidId","testValidId()",""
"passed","Tue Feb 18 09:16:52 GMT 2025","Tue Feb 18 09:16:52 GMT 2025","2","","after adding 2 elements","","com.example.catalog.LRUCacheTest$WhenInstantiated$AfterAdding2Elements","containsAddedElements","cache contains the added elements",""
"broken","Tue Feb 18 09:16:52 GMT 2025","Tue Feb 18 09:16:52 GMT 2025","741","","com.example.catalog.RateLimitITest","","com.example.catalog.RateLimitITest","testRateLimiterEnforcesLimits","testRateLimiterEnforcesLimits()",""
"passed","Tue Feb 18 09:16:52 GMT 2025","Tue Feb 18 09:16:52 GMT 2025","3","","when instantiated with capacity 3","","com.example.catalog.LRUCacheTest$WhenInstantiated","throwsExceptionWhenGettingNullKey","throws NullPointerException when getting a null key",""
"passed","Tue Feb 18 09:16:53 GMT 2025","Tue Feb 18 09:16:53 GMT 2025","2","","com.example.catalog.SpotifyUtilsTest","","com.example.catalog.SpotifyUtilsTest","testSpotifyClient","testSpotifyClient()",""
"passed","Tue Feb 18 09:16:53 GMT 2025","Tue Feb 18 09:16:53 GMT 2025","20","","com.example.catalog.HelloControllerTest","","com.example.catalog.HelloControllerTest","testHome","testHome()",""
"passed","Tue Feb 18 09:16:53 GMT 2025","Tue Feb 18 09:16:53 GMT 2025","1","","com.example.catalog.SpotifyUtilsTest","","com.example.catalog.SpotifyUtilsTest","testInvalidId","testInvalidId()",""
"passed","Tue Feb 18 09:16:53 GMT 2025","Tue Feb 18 09:16:53 GMT 2025","1","","com.example.catalog.SpotifyUtilsTest","","com.example.catalog.SpotifyUtilsTest","testInvalidURI","testInvalidURI()",""
